1930,439,1586,226,905
1937,484,1606,236,960
1379,336,1061,155,594
1758,685,1314,387,786
2330,1099,1835,610,1053
2215,1031,1638,621,998
1571,693,1265,403,771
2316,1080,1868,534,1032
2096,855,1703,422,978
2262,923,1873,412,996
2115,953,1681,516,983
2433,1001,1955,499,1065
1845,819,1513,337,793
1415,670,1174,339,640
2019,960,1676,459,899
1879,917,1510,506,852
1760,917,1429,427,708
2742,1126,2150,624,1244
3161,1196,2617,427,1239
2348,1266,1928,651,1063
2188,949,1824,391,917
2351,580,1774,253,902
2523,676,1938,306,1047
2620,681,2089,271,1089
2937,730,2278,334,1247
1799,373,902,228,556
1169,318,844,142,406
2391,736,1881,343,1033
2585,809,1874,406,1050
2658,1068,2042,608,1246
2534,817,1938,387,1060
2754,830,2056,368,1110
2047,696,1557,340,848
2450,816,2030,301,966
2651,884,2182,357,1112
2886,1042,2370,435,1194
2375,813,1828,395,1011
2714,980,2094,536,1243
1492,493,1120,253,603
2614,930,2017,430,1101
1981,545,1191,322,712
2047,660,1606,286,808
1295,298,1019,155,576
1901,423,1295,232,745
1749,434,1421,180,710
2980,812,2353,353,1294
2369,559,1794,264,1003
1793,418,1111,192,604
2497,795,1976,332,1014
1482,432,1245,166,619
2173,585,1749,289,997
1525,394,1195,167,658
1656,528,1290,219,688
2660,707,1679,370,950
2252,631,1521,322,820
2438,634,1823,337,1025
2614,776,1964,421,1135
2849,877,2322,371,1247
2125,671,1745,295,924
2260,714,1860,298,993
2149,675,1792,280,984
2579,862,2142,376,1164
2419,870,1966,409,1053
2637,999,2129,479,1145
1968,639,1642,297,886
2577,827,2153,358,1137
2599,695,1700,408,1028
2861,796,2128,392,1163
1194,401,944,204,540
1931,625,1492,333,828
2532,841,1969,406,1087
535,177,439,84,254
2577,786,1867,392,1106
2009,621,1576,300,876
2302,795,1934,359,1074
3268,1124,2827,515,1629
468,207,390,104,218
508,174,448,85,263
2195,887,1897,369,929
1880,596,1574,218,793
1958,445,1214,248,748
1995,627,1613,291,901
1565,485,1261,220,693
1610,542,1293,241,696
1857,761,1491,352,795
2252,904,1816,420,987
1475,579,1180,288,637
138,63,121,33,65
1976,721,1695,321,919
2305,717,1823,360,1003
1201,371,1048,149,585
1646,523,1381,223,775
2108,911,1783,438,977
2281,675,1853,309,1041
2701,873,2192,423,1305
1596,550,1345,267,779
2163,691,1660,298,823
2414,721,1784,341,975
2083,668,1687,274,897
2356,718,1921,303,967
2370,843,1930,355,985
1870,677,1537,261,716
2164,715,1605,366,861
1915,728,1537,301,787
2511,963,2023,436,1076
1728,617,1356,241,644
1398,444,1070,189,538
2160,732,1605,337,794
2128,729,1620,325,850
1381,523,1113,187,512
2189,757,1553,387,849
2775,875,2063,440,1162
2468,585,1594,287,903
2804,852,2245,355,1157
2599,739,2093,295,1073
1985,569,1412,284,808
2371,589,1895,246,1022
2786,901,2302,393,1229
1432,401,1117,181,588
1904,458,1431,211,788
2014,502,1539,216,848
1505,724,768,546,571
1143,636,654,493,506
961,529,804,244,397
1130,598,931,273,459
901,496,779,210,364
1357,703,1175,267,541
1450,820,1207,439,657
2151,1099,1819,487,919
1173,535,970,196,452
1529,876,1311,396,648
1337,707,1102,364,587
1041,491,876,241,504
1694,493,1365,200,755
2001,532,1418,276,829
2260,590,1766,258,960
1581,486,1231,231,659
1928,583,1592,258,856
1773,605,1474,243,734
984,271,801,111,396
984,304,769,137,400
3117,960,2319,462,1190
2991,896,2105,466,1133
2856,793,2076,386,1180
3213,1041,2470,474,1310
2955,915,2154,443,1127
3076,927,2114,467,1130
2852,827,1996,463,1134
2913,943,2153,473,1153
1674,537,1273,285,729
2971,985,1930,551,1104
3016,1006,2156,543,1209
3111,975,2157,532,1194
3024,979,1869,592,1118
3128,1139,2070,706,1237
3312,1023,2446,505,1362
3039,1006,2152,554,1247
2479,873,1828,467,1046
2814,958,2033,537,1170
3195,1047,2276,613,1367
3092,950,1993,506,1137
2393,1190,1889,694,1116
2518,893,1972,488,1157
1159,486,905,313,580
2527,1119,1972,594,1120
2420,1042,1943,647,1227
2144,993,1664,666,1135
1707,874,1336,501,777
2548,1141,2103,561,1108
1874,995,1497,581,864
2668,1329,2121,734,1220
2360,1172,1787,747,1126
2609,1411,1960,986,1346
2165,1168,1742,610,954
1914,692,1511,376,876
2896,1451,2264,900,1411
2553,1153,2041,642,1174
2414,1262,1912,713,1124
1900,824,1543,492,951
2093,1214,1700,820,1155
1529,713,1159,427,725
2018,898,1457,616,1002
2811,1271,2135,822,1415
3059,1332,2402,877,1614
2063,785,1609,516,1137
2284,960,1817,558,1031
2466,836,1956,401,1053
2422,670,1834,292,965
1476,470,1192,188,572
1130,323,921,116,472
2356,789,1873,347,986
3028,823,2108,406,1184
1897,598,1527,269,791
2864,729,1904,386,1090
2228,678,1649,327,859
2672,687,1755,326,925
2497,695,1939,339,1029
1476,529,1175,251,633
1270,415,831,264,525
1587,766,1105,495,709
2187,814,1451,485,866
