Electors of President and Vice-President of the United States (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,Joseph R. Biden/Kamala D. Harris,,,Donald J. Trump/Michael R. Pence,,,Jo Jorgensen/Jeremy Cohen,,,Don Blankenship/William Mohr,,,Howie Hawkins/Angela Walker,,,Rocky De La Fuente/Darcy Richardson,,,Rejected write-ins,,,Unassigned write-ins,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"White Lake Township, Precinct 6",3028,616,207,823,637,624,1261,7,7,14,2,0,2,4,2,6,1,0,1,0,0,0,1,0,1,2108
"White Lake Township, Precinct 7",1897,483,115,598,456,441,897,9,5,14,2,0,2,8,2,10,1,0,1,0,0,0,5,0,5,1527
"White Lake Township, Precinct 8",2864,572,157,729,470,668,1138,9,13,22,1,0,1,2,4,6,1,0,1,0,0,0,2,5,7,1904
"White Lake Township, Precinct 9",2228,503,175,678,428,503,931,6,22,28,2,0,2,4,2,6,0,0,0,0,0,0,1,3,4,1649
"White Lake Township, Precinct 10",2672,501,186,687,498,544,1042,6,5,11,0,3,3,2,5,7,1,1,2,0,0,0,2,1,3,1755
"White Lake Township, Precinct 11",2497,553,142,695,595,617,1212,11,11,22,2,0,2,0,1,1,0,1,1,0,0,0,6,0,6,1939
"White Lake Township, Precinct 12",1476,420,109,529,330,303,633,3,4,7,1,0,1,1,1,2,0,1,1,0,0,0,2,0,2,1175
"Auburn Hills, Precinct 1",1270,307,108,415,166,228,394,9,6,15,0,0,0,1,3,4,0,0,0,0,0,0,0,3,3,831
"Auburn Hills, Precinct 2",1587,549,217,766,146,174,320,7,5,12,0,1,1,1,1,2,0,1,1,0,0,0,2,1,3,1105
"Auburn Hills, Precinct 3",2187,565,249,814,249,358,607,10,10,20,0,1,1,1,5,6,0,0,0,0,0,0,1,2,3,1451
"Auburn Hills, Precinct 4",1962,535,193,728,207,324,531,7,12,19,1,0,1,1,2,3,1,1,2,0,0,0,1,2,3,1287
"Auburn Hills, Precinct 5",1434,442,150,592,233,262,495,9,8,17,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1106
"Auburn Hills, Precinct 6",2395,821,150,971,556,280,836,16,12,28,3,0,3,0,1,1,1,0,1,0,0,0,3,0,3,1843
"Auburn Hills, Precinct 7",2052,687,273,960,177,235,412,3,9,12,2,2,4,5,3,8,0,1,1,0,0,0,1,3,4,1401
"Auburn Hills, Precinct 8",1846,545,210,755,176,250,426,9,11,20,2,0,2,1,2,3,1,0,1,0,0,0,3,1,4,1211
"Auburn Hills, Precinct 9",1516,439,147,586,181,183,364,9,3,12,1,0,1,1,3,4,0,0,0,0,0,0,2,0,2,969
"Berkley, Precinct 1",2054,828,250,1078,294,275,569,8,9,17,1,1,2,2,2,4,0,0,0,0,0,0,2,6,8,1678
"Berkley, Precinct 2",1876,784,243,1027,215,284,499,14,7,21,1,0,1,2,4,6,2,0,2,0,0,0,3,3,6,1562
"Berkley, Precinct 3",1953,744,263,1007,198,288,486,7,11,18,0,1,1,4,6,10,0,0,0,0,0,0,2,1,3,1525
"Berkley, Precinct 4",1958,749,348,1097,190,322,512,5,12,17,2,0,2,1,1,2,0,0,0,0,0,0,2,0,2,1632
"Berkley, Precinct 5",1734,665,271,936,164,257,421,6,11,17,2,0,2,1,1,2,0,0,0,0,0,0,2,1,3,1381
"Berkley, Precinct 6",1957,699,283,982,171,330,501,6,11,17,0,0,0,2,5,7,0,0,0,0,0,0,0,3,3,1510
"Berkley, Precinct 7",1933,745,269,1014,203,273,476,10,8,18,0,0,0,3,4,7,1,1,2,0,0,0,0,3,3,1520
"Birmingham, Precinct 1",2129,736,149,885,425,329,754,7,4,11,1,0,1,2,1,3,0,1,1,0,0,0,1,1,2,1657
"Birmingham, Precinct 2",2090,800,183,983,365,315,680,8,4,12,1,0,1,0,1,1,1,0,1,0,0,0,2,1,3,1681
"Birmingham, Precinct 3",1887,728,193,921,252,272,524,1,12,13,1,0,1,1,0,1,0,0,0,0,0,0,4,1,5,1465
"Birmingham, Precinct 4",2137,760,168,928,459,350,809,10,2,12,0,1,1,0,1,1,0,0,0,0,0,0,3,1,4,1755
"Birmingham, Precinct 5",2097,864,163,1027,311,367,678,10,5,15,0,0,0,2,2,4,0,0,0,0,0,0,7,1,8,1732
"Birmingham, Precinct 6",2422,964,175,1139,437,277,714,12,4,16,1,0,1,1,0,1,0,0,0,0,0,0,7,2,9,1880
"Birmingham, Precinct 7",2475,913,267,1180,356,337,693,9,6,15,1,1,2,4,0,4,0,0,0,0,0,0,3,1,4,1898
"Birmingham, Precinct 8",2091,739,181,920,319,333,652,3,5,8,0,1,1,1,2,3,0,1,1,0,0,0,8,3,11,1596
"Birmingham, Precinct 9",1639,553,195,748,229,284,513,4,8,12,0,0,0,0,1,1,0,1,1,0,0,0,2,1,3,1278
"Bloomfield Hills, Precinct 1",2236,713,137,850,589,282,871,12,7,19,1,0,1,2,2,4,0,0,0,0,0,0,3,3,6,1751
"Bloomfield Hills, Precinct 2",1799,579,132,711,424,233,657,6,4,10,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1382
"Clarkston, Precinct 1",855,0,309,309,0,334,334,0,12,12,0,2,2,0,2,2,0,1,1,0,0,0,0,1,1,661
"Clawson, Precinct 1",2560,913,283,1196,353,444,797,12,9,21,1,1,2,4,2,6,1,0,1,0,0,0,1,2,3,2026
"Clawson, Precinct 2",1761,635,185,820,249,277,526,7,10,17,4,0,4,2,1,3,1,0,1,0,0,0,2,1,3,1374
"Clawson, Precinct 3",1725,572,222,794,277,310,587,5,8,13,0,1,1,1,2,3,2,0,2,0,0,0,4,1,5,1405
"Clawson, Precinct 4",1635,522,224,746,195,297,492,6,16,22,0,0,0,0,1,1,1,0,1,0,0,0,2,1,3,1265
"Clawson, Precinct 5",2142,701,270,971,343,407,750,9,15,24,0,0,0,0,5,5,0,0,0,0,0,0,0,2,2,1752
"Farmington, Precinct 1",1097,421,148,569,141,169,310,9,6,15,1,0,1,2,2,4,1,0,1,0,0,0,0,0,0,900
"Farmington, Precinct 2",1580,596,181,777,216,238,454,6,8,14,0,0,0,2,4,6,1,0,1,0,0,0,2,0,2,1254
"Farmington, Precinct 3",1475,465,218,683,177,244,421,8,15,23,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1129
"Farmington, Precinct 4",1409,548,151,699,162,180,342,5,9,14,0,0,0,1,2,3,0,0,0,0,0,0,1,0,1,1059
"Farmington, Precinct 5",1110,416,153,569,179,141,320,3,4,7,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,900
"Farmington, Precinct 6",1236,461,130,591,171,158,329,9,5,14,2,1,3,1,2,3,0,0,0,0,0,0,3,3,6,946
"Farmington Hills, Precinct 1",2318,1071,158,1229,350,188,538,4,4,8,3,0,3,3,4,7,0,0,0,0,0,0,5,1,6,1791
"Farmington Hills, Precinct 2",2525,1152,238,1390,324,213,537,5,5,10,1,2,3,2,3,5,1,1,2,0,0,0,2,2,4,1951
"Farmington Hills, Precinct 3",2674,1277,230,1507,401,239,640,12,5,17,2,0,2,8,1,9,0,0,0,0,0,0,4,8,12,2187
"Farmington Hills, Precinct 4",2561,1192,181,1373,404,249,653,7,1,8,0,0,0,1,1,2,1,0,1,0,0,0,4,0,4,2041
"Farmington Hills, Precinct 5",2307,770,143,913,432,388,820,12,2,14,1,1,2,1,0,1,0,0,0,0,0,0,2,0,2,1752
"Farmington Hills, Precinct 6",1438,504,136,640,119,125,244,7,1,8,1,1,2,0,1,1,1,0,1,0,0,0,1,0,1,897
"Farmington Hills, Precinct 7",2472,1057,165,1222,474,236,710,5,5,10,1,0,1,1,0,1,1,1,2,0,0,0,10,1,11,1957
"Farmington Hills, Precinct 8",2132,959,166,1125,342,215,557,3,6,9,1,1,2,1,2,3,2,0,2,0,0,0,0,1,1,1699
"Farmington Hills, Precinct 9",2873,1208,228,1436,514,328,842,12,9,21,0,0,0,3,1,4,1,1,2,0,0,0,2,3,5,2310
"Farmington Hills, Precinct 10",3106,1303,310,1613,439,284,723,11,11,22,4,1,5,10,2,12,0,0,0,0,0,0,7,1,8,2383
"Farmington Hills, Precinct 11",2558,1016,234,1250,309,203,512,7,6,13,1,0,1,3,2,5,1,0,1,0,0,0,2,1,3,1785
"Farmington Hills, Precinct 12",2189,1068,218,1286,277,180,457,9,3,12,1,0,1,2,0,2,0,1,1,0,0,0,4,0,4,1763
"Farmington Hills, Precinct 13",2030,839,204,1043,312,240,552,13,8,21,0,0,0,4,1,5,1,0,1,0,0,0,1,1,2,1624
"Farmington Hills, Precinct 14",2471,896,227,1123,451,402,853,12,6,18,2,2,4,1,1,2,0,2,2,0,0,0,1,1,2,2004
"Farmington Hills, Precinct 15",1400,534,110,644,256,173,429,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1088
"Farmington Hills, Precinct 16",2953,1205,233,1438,494,307,801,13,2,15,2,2,4,3,2,5,1,0,1,0,0,0,2,2,4,2268
"Farmington Hills, Precinct 17",2445,865,327,1192,133,139,272,7,7,14,1,0,1,1,0,1,0,1,1,0,0,0,2,3,5,1486
"Farmington Hills, Precinct 18",1691,610,154,764,317,202,519,6,6,12,4,0,4,1,0,1,0,1,1,0,0,0,1,0,1,1302
"Farmington Hills, Precinct 19",2301,1029,245,1274,298,229,527,7,5,12,0,0,0,3,2,5,0,0,0,0,0,0,1,0,1,1819
"Farmington Hills, Precinct 20",3000,1261,252,1513,396,282,678,13,6,19,2,2,4,4,0,4,2,0,2,0,0,0,6,2,8,2228
"Farmington Hills, Precinct 21",2897,1003,295,1298,428,394,822,9,8,17,2,2,4,2,2,4,1,0,1,0,0,0,3,2,5,2151
"Farmington Hills, Precinct 22",1991,709,162,871,335,254,589,7,3,10,1,1,2,1,0,1,1,0,1,0,0,0,4,2,6,1480
"Farmington Hills, Precinct 23",2013,806,156,962,443,215,658,17,1,18,0,0,0,1,0,1,0,0,0,0,0,0,7,1,8,1647
"Farmington Hills, Precinct 24",2967,1151,199,1350,617,309,926,8,8,16,1,1,2,1,3,4,3,1,4,0,0,0,3,2,5,2307
"Farmington Hills, Precinct 25",2933,1176,207,1383,445,300,745,17,4,21,1,2,3,2,1,3,1,1,2,0,0,0,0,1,1,2158
"Farmington Hills, Precinct 26",2849,967,302,1269,378,310,688,9,12,21,2,1,3,4,2,6,0,1,1,0,0,0,4,4,8,1996
"Farmington Hills, Precinct 27",2833,837,332,1169,294,303,597,13,12,25,1,1,2,12,1,13,0,0,0,0,0,0,4,1,5,1811
"Fenton, Precinct 2",15,0,4,4,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Ferndale, Precinct 1",2426,1424,254,1678,199,145,344,5,10,15,0,0,0,7,1,8,1,0,1,0,0,0,3,2,5,2051
"Ferndale, Precinct 2",1819,789,310,1099,112,158,270,7,7,14,0,0,0,5,7,12,0,0,0,0,0,0,0,4,4,1399
"Ferndale, Precinct 3",1982,946,339,1285,105,117,222,8,11,19,1,2,3,2,3,5,0,0,0,0,0,0,1,0,1,1535
"Ferndale, Precinct 4",1903,766,312,1078,132,163,295,4,8,12,0,0,0,9,5,14,1,0,1,0,0,0,6,3,9,1409
"Ferndale, Precinct 5",1971,871,366,1237,132,137,269,12,12,24,1,0,1,2,4,6,0,1,1,0,0,0,5,1,6,1544
"Ferndale, Precinct 6",1899,695,286,981,155,226,381,7,14,21,0,0,0,2,5,7,0,1,1,0,0,0,1,0,1,1392
"Ferndale, Precinct 7",1703,672,255,927,124,192,316,6,9,15,0,0,0,0,4,4,0,0,0,0,0,0,2,0,2,1264
"Ferndale, Precinct 8",1105,487,176,663,76,69,145,3,9,12,0,0,0,1,2,3,0,0,0,0,0,0,3,0,3,826
"Ferndale, Precinct 9",1991,1036,291,1327,129,132,261,6,12,18,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,1620
"Hazel Park, Precinct 1",2435,600,337,937,160,352,512,10,6,16,0,3,3,4,2,6,0,1,1,0,0,0,2,3,5,1480
"Hazel Park, Precinct 2",2365,634,325,959,225,340,565,5,13,18,3,1,4,1,2,3,0,2,2,0,0,0,3,3,6,1557
"Hazel Park, Precinct 3",2102,435,257,692,196,349,545,7,9,16,1,0,1,3,5,8,0,1,1,0,0,0,1,2,3,1266
"Hazel Park, Precinct 4",1526,388,198,586,130,241,371,5,6,11,0,1,1,1,3,4,1,2,3,0,0,0,2,0,2,978
"Hazel Park, Precinct 5",2402,576,310,886,201,359,560,13,8,21,2,0,2,1,3,4,2,0,2,0,0,0,2,0,2,1477
"Hazel Park, Precinct 6",2009,454,244,698,139,261,400,7,3,10,0,0,0,5,3,8,1,3,4,0,0,0,5,3,8,1128
"Huntington Woods, Precinct 1",1328,833,131,964,92,76,168,3,6,9,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1144
"Huntington Woods, Precinct 2",1080,575,134,709,78,87,165,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,886
"Huntington Woods, Precinct 3",1169,660,136,796,97,107,204,3,9,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1014
"Huntington Woods, Precinct 4",1064,666,101,767,71,61,132,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,902
"Huntington Woods, Precinct 5",1099,591,156,747,107,59,166,9,3,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,926
"Keego Harbor, Precinct 1",2258,551,277,828,323,424,747,6,3,9,1,0,1,2,3,5,0,1,1,0,0,0,2,8,10,1601
"Lake Angelus, Precinct 1",263,0,81,81,0,144,144,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,229
"Lathrup Village, Precinct 1",1956,1126,223,1349,139,96,235,1,4,5,3,1,4,3,1,4,0,1,1,0,0,0,4,0,4,1602
"Lathrup Village, Precinct 2",1951,1076,277,1353,100,63,163,4,3,7,0,0,0,1,1,2,0,0,0,0,0,0,3,1,4,1529
"Madison Heights, Precinct 1",1977,510,215,725,219,318,537,10,4,14,0,1,1,5,4,9,0,1,1,0,0,0,2,3,5,1292
"Madison Heights, Precinct 2",1689,472,169,641,204,246,450,8,8,16,1,0,1,2,2,4,0,0,0,0,0,0,3,0,3,1115
"Madison Heights, Precinct 3",2029,494,205,699,209,335,544,6,5,11,1,1,2,1,3,4,0,0,0,0,0,0,4,1,5,1265
"Madison Heights, Precinct 4",1978,484,190,674,203,314,517,5,13,18,1,1,2,4,4,8,1,1,2,0,0,0,0,0,0,1221
"Madison Heights, Precinct 5",1644,426,158,584,240,292,532,3,2,5,1,0,1,3,0,3,1,0,1,0,0,0,1,0,1,1127
"Madison Heights, Precinct 6",450,162,7,169,48,43,91,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,263
"Madison Heights, Precinct 7",2369,751,195,946,408,389,797,15,3,18,3,0,3,2,1,3,0,0,0,0,0,0,1,0,1,1768
"Madison Heights, Precinct 8",2924,899,228,1127,514,455,969,16,7,23,1,2,3,5,4,9,0,0,0,0,0,0,2,1,3,2134
"Madison Heights, Precinct 9",2436,758,208,966,357,443,800,10,13,23,3,1,4,1,3,4,1,0,1,0,0,0,2,3,5,1803
"Madison Heights, Precinct 10",2046,581,205,786,363,335,698,11,11,22,0,0,0,4,0,4,0,0,0,0,0,0,2,1,3,1513
"Madison Heights, Precinct 11",3073,812,321,1133,356,283,639,9,14,23,0,2,2,3,2,5,1,2,3,0,0,0,3,2,5,1810
"Northville, Precinct 2",2775,1030,198,1228,569,449,1018,8,9,17,1,0,1,4,2,6,0,1,1,0,0,0,9,4,13,2284
"Novi, Precinct 1",1996,735,141,876,407,302,709,7,7,14,2,0,2,2,1,3,0,0,0,0,0,0,3,0,3,1607
"Novi, Precinct 2",2552,948,224,1172,466,336,802,10,7,17,3,0,3,2,0,2,1,0,1,0,0,0,2,3,5,2002
"Novi, Precinct 3",1868,675,175,850,328,238,566,11,6,17,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1437
"Novi, Precinct 4",2064,790,212,1002,326,286,612,5,1,6,3,0,3,3,3,6,0,1,1,0,0,0,4,1,5,1635
"Novi, Precinct 5",1851,615,175,790,281,216,497,7,6,13,0,1,1,2,1,3,2,0,2,0,0,0,4,0,4,1310
"Novi, Precinct 6",2130,851,163,1014,373,233,606,4,2,6,1,0,1,0,3,3,1,0,1,0,0,0,2,4,6,1637
"Novi, Precinct 7",1997,770,154,924,337,202,539,8,3,11,1,0,1,7,0,7,0,0,0,0,0,0,3,0,3,1485
"Novi, Precinct 8",2015,712,158,870,381,291,672,8,3,11,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1557
"Novi, Precinct 9",1737,727,97,824,428,172,600,8,2,10,1,0,1,2,1,3,0,0,0,0,0,0,3,0,3,1441
"Novi, Precinct 10",1269,522,50,572,410,83,493,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,1075
"Novi, Precinct 11",2179,576,263,839,229,283,512,10,3,13,1,1,2,0,3,3,1,0,1,0,0,0,0,2,2,1372
"Novi, Precinct 12",2115,631,364,995,157,209,366,7,5,12,0,0,0,5,2,7,0,0,0,0,0,0,2,1,3,1383
"Novi, Precinct 13",2022,760,121,881,371,311,682,12,4,16,4,0,4,0,1,1,0,0,0,0,0,0,3,0,3,1587
"Novi, Precinct 14",1187,448,142,590,193,150,343,5,2,7,0,0,0,2,1,3,1,0,1,0,0,0,1,1,2,946
"Novi, Precinct 15",1643,654,151,805,315,193,508,7,0,7,1,0,1,2,1,3,1,0,1,0,0,0,2,1,3,1328
"Novi, Precinct 16",1849,753,120,873,431,251,682,10,2,12,1,1,2,1,1,2,0,0,0,0,0,0,4,2,6,1577
"Novi, Precinct 17",1645,628,105,733,390,226,616,8,2,10,2,1,3,2,1,3,1,0,1,0,0,0,5,0,5,1371
"Novi, Precinct 18",1966,720,131,851,422,311,733,10,5,15,0,0,0,2,3,5,0,1,1,0,0,0,2,3,5,1610
"Novi, Precinct 19",2008,790,137,927,451,243,694,3,4,7,0,0,0,3,0,3,1,0,1,0,0,0,6,0,6,1638
"Novi, Precinct 20",1244,434,97,531,264,197,461,6,2,8,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,1004
"Novi, Precinct 21",1830,795,105,900,404,196,600,7,1,8,0,0,0,3,1,4,0,1,1,0,0,0,2,2,4,1517
"Novi, Precinct 22",1836,500,201,701,188,289,477,4,5,9,0,0,0,2,2,4,1,0,1,0,0,0,2,4,6,1198
"Novi, Precinct 23",1626,623,92,715,361,219,580,5,3,8,2,0,2,4,1,5,0,0,0,0,0,0,3,0,3,1313
"Novi, Precinct 24",1885,719,92,811,482,240,722,7,4,11,0,1,1,0,4,4,0,0,0,0,0,0,5,0,5,1554
"Novi, Precinct 25",1161,362,57,419,330,221,551,8,1,9,0,0,0,2,0,2,0,0,0,0,0,0,1,2,3,984
"Oak Park, Precinct 1",1353,332,263,595,75,74,149,2,5,7,1,1,2,0,2,2,0,0,0,0,0,0,1,0,1,756
"Oak Park, Precinct 2",1736,521,185,706,314,230,544,6,1,7,1,1,2,5,0,5,1,0,1,0,0,0,1,1,2,1267
"Oak Park, Precinct 3",1916,657,186,843,299,236,535,2,8,10,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,1392
"Oak Park, Precinct 4",1538,388,138,526,279,146,425,0,3,3,1,0,1,2,2,4,0,0,0,0,0,0,0,1,1,960
"Oak Park, Precinct 5",1209,511,191,702,39,33,72,5,4,9,1,2,3,1,2,3,0,0,0,0,0,0,0,3,3,792
"Oak Park, Precinct 6",1721,630,253,883,144,115,259,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,1,0,1,1149
"Oak Park, Precinct 7",1751,722,350,1072,39,39,78,0,2,2,0,0,0,1,3,4,0,1,1,0,0,0,2,2,4,1161
"Oak Park, Precinct 8",1747,839,282,1121,37,22,59,2,2,4,1,1,2,0,2,2,0,0,0,0,0,0,2,0,2,1190
"Oak Park, Precinct 9",1716,784,293,1077,31,42,73,0,2,2,0,3,3,1,3,4,0,0,0,0,0,0,3,0,3,1162
"Oak Park, Precinct 10",1891,834,397,1231,41,37,78,0,3,3,0,0,0,2,1,3,2,0,2,0,0,0,3,2,5,1322
"Oak Park, Precinct 11",1675,461,341,802,71,92,163,4,2,6,1,1,2,2,2,4,0,0,0,0,0,0,0,0,0,977
"Oak Park, Precinct 12",1885,821,352,1173,53,59,112,5,5,10,0,0,0,2,7,9,1,0,1,0,0,0,1,2,3,1308
"Oak Park, Precinct 13",1825,863,285,1148,40,34,74,3,4,7,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1231
"Oak Park, Precinct 14",1405,594,267,861,78,101,179,7,7,14,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,1058
"Oak Park, Precinct 15",1412,628,265,893,67,63,130,2,6,8,0,0,0,0,1,1,2,0,2,0,0,0,0,2,2,1036
"Oak Park, Precinct 16",1648,673,262,935,90,151,241,4,11,15,0,1,1,2,2,4,1,0,1,0,0,0,5,2,7,1204
"Orchard Lake, Precinct 1",2118,614,109,723,625,345,970,5,6,11,2,0,2,1,1,2,1,0,1,0,0,0,3,3,6,1715
"Pleasant Ridge, Precinct 1",2513,1185,419,1604,162,219,381,12,10,22,3,0,3,3,1,4,0,0,0,0,0,0,6,3,9,2023
"Pontiac, Precinct 1",2957,955,412,1367,36,42,78,5,1,6,0,0,0,1,0,1,0,2,2,0,0,0,2,4,6,1460
"Pontiac, Precinct 2",2369,576,291,867,54,85,139,1,3,4,0,3,3,1,1,2,1,1,2,0,0,0,0,1,1,1018
"Pontiac, Precinct 3",2138,766,352,1118,66,86,152,1,8,9,2,3,5,1,0,1,2,1,3,0,0,0,1,1,2,1290
"Pontiac, Precinct 4",1923,562,209,771,139,201,340,5,9,14,0,0,0,2,1,3,1,0,1,0,0,0,3,0,3,1132
"Pontiac, Precinct 5",2023,565,241,806,92,131,223,5,5,10,2,0,2,0,1,1,1,0,1,0,0,0,2,0,2,1045
"Pontiac, Precinct 6",2370,671,355,1026,63,98,161,8,10,18,0,0,0,3,5,8,0,0,0,0,0,0,0,1,1,1214
"Pontiac, Precinct 7",1452,171,179,350,43,64,107,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,2,2,463
"Pontiac, Precinct 8",2568,428,312,740,152,218,370,5,7,12,3,0,3,1,4,5,1,0,1,0,0,0,2,2,4,1135
"Pontiac, Precinct 9",1810,316,262,578,51,81,132,1,2,3,0,0,0,1,1,2,0,0,0,0,0,0,0,2,2,717
"Pontiac, Precinct 10",637,93,98,191,45,54,99,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
"Pontiac, Precinct 11",3252,718,412,1130,216,301,517,5,7,12,1,0,1,4,1,5,1,4,5,0,0,0,0,4,4,1674
"Pontiac, Precinct 12",2546,515,327,842,127,243,370,3,10,13,0,0,0,2,0,2,2,2,4,0,0,0,0,3,3,1234
"Pontiac, Precinct 13",2250,602,320,922,123,193,316,3,10,13,0,1,1,2,2,4,2,0,2,0,0,0,0,3,3,1261
"Pontiac, Precinct 14",2051,462,307,769,34,76,110,3,2,5,1,0,1,5,0,5,0,2,2,0,0,0,3,1,4,896
"Pontiac, Precinct 15",2640,707,487,1194,39,78,117,2,3,5,0,0,0,1,1,2,1,1,2,0,0,0,0,1,1,1321
"Pontiac, Precinct 16",2623,725,394,1119,60,86,146,3,2,5,1,0,1,3,2,5,0,0,0,0,0,0,0,1,1,1277
"Pontiac, Precinct 17",2490,377,297,674,74,137,211,6,6,12,0,0,0,1,0,1,0,0,0,0,0,0,3,3,6,904
"Pontiac, Precinct 18",2090,283,171,454,34,104,138,4,2,6,0,2,2,1,0,1,0,0,0,0,0,0,0,2,2,603
"Pontiac, Precinct 19",2885,670,389,1059,33,49,82,1,4,5,2,0,2,3,1,4,0,1,1,0,0,0,0,0,0,1153
"Pontiac, Precinct 20",2290,721,349,1070,55,37,92,1,7,8,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1174
"Pontiac, Precinct 21",2872,643,412,1055,47,63,110,4,3,7,1,1,2,2,3,5,0,2,2,0,0,0,1,0,1,1182
"Rochester, Precinct 1",2118,652,241,893,254,325,579,8,12,20,0,0,0,2,3,5,0,0,0,0,0,0,4,3,7,1504
"Rochester, Precinct 2",2896,821,243,1064,440,468,908,5,9,14,0,0,0,4,2,6,1,0,1,0,0,0,0,2,2,1995
"Rochester, Precinct 3",1670,465,176,641,224,298,522,12,6,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1182
"Rochester, Precinct 4",1327,408,86,494,275,255,530,9,8,17,0,0,0,2,0,2,0,0,0,0,0,0,1,1,2,1045
"Rochester, Precinct 5",2175,609,102,711,523,463,986,7,2,9,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,1709
"Rochester, Precinct 6",1215,384,50,434,288,220,508,2,4,6,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,952
"Rochester Hills, Precinct 1",2074,709,161,870,475,290,765,8,5,13,2,0,2,2,0,2,1,0,1,0,0,0,1,0,1,1654
"Rochester Hills, Precinct 2",1069,355,91,446,165,95,260,5,5,10,1,0,1,0,2,2,0,1,1,0,0,0,0,0,0,720
"Rochester Hills, Precinct 3",1519,447,160,607,234,305,539,13,7,20,0,0,0,2,0,2,1,0,1,0,0,0,4,0,4,1173
"Rochester Hills, Precinct 4",1436,467,110,577,283,219,502,2,1,3,1,0,1,4,1,5,0,0,0,0,0,0,1,0,1,1089
"Rochester Hills, Precinct 5",2117,584,140,724,431,456,887,15,11,26,1,2,3,2,4,6,0,0,0,0,0,0,1,1,2,1648
"Rochester Hills, Precinct 6",2657,793,150,943,624,377,1001,6,8,14,2,2,4,3,2,5,0,0,0,0,0,0,1,1,2,1969
"Rochester Hills, Precinct 7",1095,340,101,441,242,184,426,5,6,11,2,0,2,1,3,4,0,0,0,0,0,0,1,1,2,886
"Rochester Hills, Precinct 8",1005,338,62,400,270,160,430,6,1,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,839
"Rochester Hills, Precinct 9",2362,858,145,1003,499,384,883,16,5,21,2,1,3,4,1,5,0,0,0,0,0,0,1,0,1,1916
"Rochester Hills, Precinct 10",1505,610,130,740,255,218,473,7,4,11,0,0,0,3,1,4,0,0,0,0,0,0,1,2,3,1231
"Rochester Hills, Precinct 11",1766,453,158,611,246,369,615,9,7,16,0,1,1,1,1,2,0,1,1,0,0,0,1,3,4,1250
"Rochester Hills, Precinct 12",2108,640,132,772,523,442,965,13,5,18,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,1762
"Rochester Hills, Precinct 13",1692,477,113,590,352,361,713,3,6,9,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1315
"Rochester Hills, Precinct 14",2491,896,122,1018,562,369,931,13,9,22,2,0,2,2,0,2,1,0,1,0,0,0,2,0,2,1978
"Rochester Hills, Precinct 15",2192,470,168,638,340,353,693,6,5,11,1,0,1,5,1,6,1,1,2,0,0,0,4,0,4,1355
"Rochester Hills, Precinct 16",2443,750,158,908,482,438,920,18,10,28,1,1,2,3,1,4,1,0,1,0,0,0,3,3,6,1869
"Rochester Hills, Precinct 17",2498,900,156,1056,489,392,881,15,7,22,2,0,2,0,2,2,0,0,0,0,0,0,5,3,8,1971
"Rochester Hills, Precinct 18",1454,500,74,574,387,254,641,10,7,17,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2,1236
"Rochester Hills, Precinct 19",1350,416,108,524,318,288,606,7,2,9,0,1,1,0,0,0,0,1,1,0,0,0,3,1,4,1145
