Straight Party Ticket (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,
,,Democratic Party,,,Republican Party,,,Libertarian Party,,,U.S. Taxpayers Party,,,Working Class Party,,,Green Party,,,Natural Law Party,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Auburn Hills, Precinct 4",1962,321,114,435,131,218,349,4,2,6,0,1,1,5,0,5,1,1,2,1,0,1,799
"Auburn Hills, Precinct 5",1434,254,70,324,151,147,298,3,4,7,0,0,0,0,1,1,0,0,0,0,0,0,630
"Auburn Hills, Precinct 6",2395,437,88,525,367,175,542,4,3,7,0,0,0,1,0,1,1,1,2,0,0,0,1077
"Auburn Hills, Precinct 7",2052,486,176,662,94,148,242,1,4,5,2,0,2,1,1,2,1,2,3,0,1,1,917
"Auburn Hills, Precinct 8",1846,364,146,510,99,157,256,4,1,5,1,1,2,1,3,4,1,0,1,0,0,0,778
"Auburn Hills, Precinct 9",1516,281,93,374,128,118,246,3,2,5,1,0,1,2,3,5,1,0,1,0,0,0,632
"Berkley, Precinct 1",2054,391,105,496,164,128,292,3,1,4,2,0,2,1,3,4,0,0,0,0,0,0,798
"Berkley, Precinct 2",1876,400,99,499,122,150,272,1,2,3,0,0,0,2,0,2,0,2,2,0,0,0,778
"Berkley, Precinct 3",1953,400,105,505,124,173,297,2,4,6,0,0,0,0,0,0,1,0,1,0,0,0,809
"Berkley, Precinct 4",1958,367,148,515,88,147,235,1,4,5,0,0,0,1,1,2,0,1,1,0,1,1,759
"Berkley, Precinct 5",1734,342,134,476,100,153,253,0,4,4,1,0,1,1,1,2,0,0,0,0,1,1,737
"Berkley, Precinct 6",1957,346,127,473,98,186,284,3,3,6,0,0,0,0,0,0,1,1,2,0,0,0,765
"Berkley, Precinct 7",1933,374,129,503,117,150,267,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,774
"Birmingham, Precinct 1",2129,297,52,349,258,207,465,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,816
"Birmingham, Precinct 2",2090,362,57,419,229,163,392,2,1,3,0,0,0,0,1,1,0,1,1,0,0,0,816
"Birmingham, Precinct 3",1887,369,66,435,154,164,318,1,5,6,1,1,2,0,0,0,1,0,1,0,0,0,762
"Birmingham, Precinct 4",2137,282,53,335,320,197,517,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,854
"Birmingham, Precinct 5",2097,390,63,453,207,199,406,0,2,2,0,0,0,0,0,0,1,1,2,0,0,0,863
"Birmingham, Precinct 6",2422,470,63,533,279,168,447,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,984
"Birmingham, Precinct 7",2475,429,99,528,214,180,394,4,1,5,0,2,2,0,0,0,2,0,2,2,0,2,933
"Birmingham, Precinct 8",2091,366,90,456,201,189,390,3,1,4,0,0,0,0,0,0,1,0,1,0,0,0,851
"Birmingham, Precinct 9",1639,244,78,322,133,176,309,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,634
"Bloomfield Hills, Precinct 1",2236,363,65,428,375,202,577,1,1,2,0,0,0,0,0,0,2,1,3,0,0,0,1010
"Bloomfield Hills, Precinct 2",1799,270,59,329,302,145,447,0,4,4,0,0,0,1,0,1,0,0,0,0,0,0,781
"Clarkston, Precinct 1",855,0,134,134,0,196,196,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,334
"Clawson, Precinct 1",2560,464,132,596,213,221,434,3,1,4,0,0,0,1,1,2,1,2,3,1,0,1,1040
"Clawson, Precinct 2",1761,309,64,373,141,159,300,2,4,6,0,0,0,0,2,2,0,1,1,0,0,0,682
"Clawson, Precinct 3",1725,279,85,364,144,154,298,0,2,2,0,0,0,2,0,2,1,1,2,0,0,0,668
"Clawson, Precinct 4",1635,259,86,345,111,177,288,3,2,5,0,0,0,0,2,2,0,2,2,0,0,0,642
"Clawson, Precinct 5",2142,338,118,456,186,222,408,3,3,6,0,1,1,0,0,0,0,1,1,0,0,0,872
"Farmington, Precinct 1",1097,230,54,284,84,96,180,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,467
"Farmington, Precinct 2",1580,339,94,433,130,146,276,1,1,2,0,0,0,0,0,0,2,0,2,3,0,3,716
"Farmington, Precinct 3",1475,256,112,368,103,140,243,1,4,5,0,0,0,2,0,2,0,0,0,0,1,1,619
"Farmington, Precinct 4",1409,329,76,405,107,101,208,1,3,4,0,1,1,0,0,0,2,0,2,0,0,0,620
"Farmington, Precinct 5",1110,217,78,295,102,87,189,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,485
"Farmington, Precinct 6",1236,252,77,329,125,93,218,2,1,3,0,0,0,1,0,1,1,2,3,0,0,0,554
"Farmington Hills, Precinct 1",2318,691,97,788,245,125,370,1,0,1,2,1,3,0,3,3,1,0,1,0,0,0,1166
"Farmington Hills, Precinct 2",2525,733,140,873,209,124,333,1,2,3,0,1,1,0,0,0,2,2,4,0,0,0,1214
"Farmington Hills, Precinct 3",2674,693,124,817,247,137,384,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1204
"Farmington Hills, Precinct 4",2561,729,103,832,279,138,417,1,1,2,2,0,2,1,0,1,1,1,2,0,0,0,1256
"Farmington Hills, Precinct 5",2307,495,93,588,328,292,620,2,0,2,0,1,1,1,1,2,1,1,2,0,0,0,1215
"Farmington Hills, Precinct 6",1438,357,89,446,77,79,156,1,1,2,0,0,0,1,1,2,1,2,3,0,0,0,609
"Farmington Hills, Precinct 7",2472,652,100,752,326,152,478,3,3,6,0,1,1,0,0,0,1,0,1,0,0,0,1238
"Farmington Hills, Precinct 8",2132,543,85,628,239,125,364,2,0,2,1,0,1,0,1,1,1,0,1,0,0,0,997
"Farmington Hills, Precinct 9",2873,685,102,787,334,214,548,5,4,9,1,0,1,1,2,3,3,0,3,0,0,0,1351
"Farmington Hills, Precinct 10",3106,771,172,943,303,172,475,3,2,5,0,0,0,0,1,1,6,2,8,1,3,4,1436
"Farmington Hills, Precinct 11",2558,727,153,880,212,121,333,1,3,4,1,0,1,1,0,1,2,0,2,0,0,0,1221
"Farmington Hills, Precinct 12",2189,682,128,810,145,100,245,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1057
"Farmington Hills, Precinct 13",2030,498,110,608,189,149,338,4,2,6,2,1,3,1,1,2,1,2,3,1,0,1,961
"Farmington Hills, Precinct 14",2471,484,94,578,269,228,497,2,2,4,1,2,3,0,1,1,0,1,1,0,0,0,1084
"Farmington Hills, Precinct 15",1400,291,67,358,167,106,273,3,1,4,0,0,0,0,0,0,0,1,1,0,0,0,636
"Farmington Hills, Precinct 16",2953,675,126,801,309,177,486,1,1,2,0,1,1,0,3,3,1,0,1,2,1,3,1297
"Farmington Hills, Precinct 17",2445,623,208,831,98,78,176,3,4,7,1,0,1,2,3,5,2,1,3,0,0,0,1023
"Farmington Hills, Precinct 18",1691,375,98,473,193,129,322,4,2,6,1,0,1,0,1,1,2,0,2,0,0,0,805
"Farmington Hills, Precinct 19",2301,656,150,806,187,125,312,5,0,5,0,1,1,1,0,1,0,0,0,1,0,1,1126
"Farmington Hills, Precinct 20",3000,776,166,942,233,172,405,2,3,5,0,0,0,2,4,6,1,0,1,0,0,0,1359
"Farmington Hills, Precinct 21",2897,614,160,774,260,245,505,2,3,5,3,1,4,5,4,9,2,4,6,0,2,2,1305
"Farmington Hills, Precinct 22",1991,416,79,495,213,143,356,2,2,4,1,1,2,0,2,2,0,0,0,0,0,0,859
"Farmington Hills, Precinct 23",2013,455,92,547,289,133,422,4,0,4,1,0,1,0,0,0,0,0,0,1,0,1,975
"Farmington Hills, Precinct 24",2967,712,121,833,369,181,550,3,2,5,3,1,4,0,1,1,1,0,1,0,0,0,1394
"Farmington Hills, Precinct 25",2933,792,127,919,290,180,470,7,1,8,0,0,0,3,0,3,0,1,1,0,0,0,1401
"Farmington Hills, Precinct 26",2849,597,172,769,235,182,417,6,6,12,1,1,2,2,5,7,3,2,5,0,0,0,1212
"Farmington Hills, Precinct 27",2833,580,230,810,179,194,373,5,8,13,1,0,1,0,5,5,5,0,5,0,0,0,1207
"Fenton, Precinct 2",15,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Ferndale, Precinct 1",2426,859,142,1001,122,86,208,3,0,3,0,0,0,0,1,1,0,0,0,1,0,1,1214
"Ferndale, Precinct 2",1819,493,171,664,74,92,166,2,1,3,0,0,0,0,3,3,4,1,5,0,0,0,841
"Ferndale, Precinct 3",1982,543,175,718,68,70,138,2,5,7,0,0,0,0,3,3,1,1,2,0,0,0,868
"Ferndale, Precinct 4",1903,479,166,645,83,86,169,5,4,9,0,0,0,0,0,0,2,1,3,0,0,0,826
"Ferndale, Precinct 5",1971,477,190,667,79,74,153,5,3,8,0,0,0,2,0,2,1,0,1,0,0,0,831
"Ferndale, Precinct 6",1899,384,172,556,103,132,235,2,4,6,0,0,0,1,1,2,0,1,1,0,0,0,800
"Ferndale, Precinct 7",1703,425,151,576,79,108,187,1,3,4,0,0,0,1,2,3,1,1,2,0,0,0,772
"Ferndale, Precinct 8",1105,284,92,376,46,34,80,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,461
"Ferndale, Precinct 9",1991,575,150,725,71,60,131,2,1,3,0,0,0,2,2,4,3,1,4,0,0,0,867
"Hazel Park, Precinct 1",2435,370,194,564,104,209,313,1,2,3,0,1,1,1,3,4,1,1,2,0,2,2,889
"Hazel Park, Precinct 2",2365,406,184,590,145,197,342,3,5,8,0,1,1,2,1,3,0,2,2,0,0,0,946
"Hazel Park, Precinct 3",2102,289,154,443,141,223,364,3,2,5,0,2,2,3,3,6,2,3,5,0,0,0,825
"Hazel Park, Precinct 4",1526,267,104,371,83,143,226,2,4,6,0,0,0,0,5,5,0,3,3,1,0,1,612
"Hazel Park, Precinct 5",2402,361,178,539,119,229,348,2,7,9,2,0,2,0,3,3,1,0,1,0,1,1,903
"Hazel Park, Precinct 6",2009,308,155,463,84,161,245,5,3,8,0,1,1,2,1,3,3,1,4,1,1,2,726
"Huntington Woods, Precinct 1",1328,437,47,484,50,42,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576
"Huntington Woods, Precinct 2",1080,312,58,370,42,49,91,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,464
"Huntington Woods, Precinct 3",1169,344,57,401,50,54,104,2,1,3,0,0,0,1,0,1,1,0,1,0,0,0,510
"Huntington Woods, Precinct 4",1064,366,48,414,33,31,64,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,480
"Huntington Woods, Precinct 5",1099,322,53,375,50,37,87,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,465
"Keego Harbor, Precinct 1",2258,290,147,437,195,264,459,1,6,7,0,1,1,4,3,7,4,1,5,0,1,1,917
"Lake Angelus, Precinct 1",263,0,29,29,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
"Lathrup Village, Precinct 1",1956,777,131,908,85,48,133,1,3,4,1,0,1,1,2,3,0,0,0,0,0,0,1049
"Lathrup Village, Precinct 2",1951,746,180,926,50,40,90,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1019
"Madison Heights, Precinct 1",1977,319,112,431,132,181,313,4,4,8,0,0,0,1,5,6,2,0,2,0,0,0,760
"Madison Heights, Precinct 2",1689,262,94,356,132,147,279,3,2,5,0,0,0,1,1,2,3,2,5,0,1,1,648
"Madison Heights, Precinct 3",2029,308,117,425,126,190,316,4,4,8,2,0,2,3,6,9,0,2,2,0,1,1,763
"Madison Heights, Precinct 4",1978,279,100,379,121,180,301,5,2,7,0,0,0,0,4,4,2,2,4,0,0,0,695
"Madison Heights, Precinct 5",1644,234,78,312,160,171,331,1,3,4,1,1,2,1,1,2,1,0,1,0,0,0,652
"Madison Heights, Precinct 6",450,136,4,140,38,11,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,190
"Madison Heights, Precinct 7",2369,397,90,487,233,224,457,3,2,5,2,0,2,1,2,3,0,1,1,0,0,0,955
"Madison Heights, Precinct 8",2924,486,119,605,285,273,558,6,2,8,0,0,0,2,1,3,4,2,6,1,0,1,1181
"Madison Heights, Precinct 9",2436,414,103,517,208,251,459,4,5,9,0,1,1,1,6,7,0,2,2,1,0,1,996
"Madison Heights, Precinct 10",2046,305,107,412,220,183,403,2,2,4,1,1,2,1,0,1,3,2,5,0,1,1,828
"Madison Heights, Precinct 11",3073,562,214,776,242,176,418,5,7,12,3,1,4,5,1,6,2,2,4,1,1,2,1222
"Northville, Precinct 2",2775,493,80,573,343,264,607,1,3,4,1,0,1,0,1,1,1,0,1,0,0,0,1187
"Novi, Precinct 1",1996,389,78,467,246,179,425,0,1,1,1,0,1,2,0,2,1,0,1,2,0,2,899
"Novi, Precinct 2",2552,529,124,653,320,205,525,1,2,3,0,0,0,1,3,4,3,1,4,1,0,1,1190
"Novi, Precinct 3",1868,422,112,534,201,125,326,5,4,9,0,1,1,0,1,1,0,0,0,1,0,1,872
"Novi, Precinct 4",2064,462,118,580,218,163,381,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,966
"Novi, Precinct 5",1851,366,110,476,186,119,305,1,2,3,0,0,0,2,1,3,3,0,3,0,0,0,790
"Novi, Precinct 6",2130,503,102,605,236,153,389,0,2,2,1,0,1,0,0,0,2,0,2,0,0,0,999
"Novi, Precinct 7",1997,514,95,609,242,110,352,2,2,4,0,0,0,4,0,4,1,0,1,1,0,1,971
"Novi, Precinct 8",2015,449,79,528,255,186,441,4,1,5,0,1,1,0,2,2,0,0,0,0,0,0,977
"Novi, Precinct 9",1737,433,52,485,268,103,371,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,859
"Novi, Precinct 10",1269,300,30,330,305,62,367,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,699
"Novi, Precinct 11",2179,383,168,551,144,169,313,2,3,5,2,0,2,0,3,3,1,3,4,0,0,0,878
"Novi, Precinct 12",2115,436,232,668,91,124,215,4,3,7,0,1,1,2,1,3,3,2,5,0,0,0,899
"Novi, Precinct 13",2022,456,83,539,227,184,411,0,3,3,1,1,2,3,0,3,1,0,1,0,1,1,960
"Novi, Precinct 14",1187,329,103,432,143,100,243,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,677
"Novi, Precinct 15",1643,397,68,465,193,116,309,3,0,3,1,0,1,1,0,1,1,0,1,0,0,0,780
"Novi, Precinct 16",1849,364,49,413,277,151,428,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,844
"Novi, Precinct 17",1645,317,55,372,248,152,400,1,1,2,0,0,0,1,0,1,1,0,1,0,0,0,776
"Novi, Precinct 18",1966,374,61,435,277,169,446,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,884
"Novi, Precinct 19",2008,404,66,470,277,138,415,0,0,0,0,0,0,1,1,2,4,0,4,0,0,0,891
"Novi, Precinct 20",1244,251,56,307,187,132,319,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,629
"Novi, Precinct 21",1830,429,47,476,286,123,409,4,1,5,0,0,0,0,1,1,1,2,3,0,0,0,894
"Novi, Precinct 22",1836,335,122,457,126,185,311,2,2,4,0,1,1,0,2,2,2,2,4,0,0,0,779
"Novi, Precinct 23",1626,329,58,387,250,126,376,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,766
"Novi, Precinct 24",1885,383,41,424,276,140,416,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,842
"Novi, Precinct 25",1161,196,31,227,239,148,387,2,0,2,0,1,1,0,1,1,1,0,1,0,0,0,619
"Oak Park, Precinct 1",1353,252,196,448,57,46,103,1,2,3,0,1,1,0,2,2,1,1,2,0,0,0,559
"Oak Park, Precinct 2",1736,328,110,438,166,122,288,3,2,5,1,1,2,0,0,0,1,2,3,0,0,0,736
"Oak Park, Precinct 3",1916,426,98,524,179,141,320,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,846
"Oak Park, Precinct 4",1538,317,106,423,177,94,271,0,2,2,1,0,1,1,1,2,0,1,1,0,1,1,701
"Oak Park, Precinct 5",1209,375,144,519,24,17,41,1,0,1,0,0,0,2,2,4,1,1,2,0,1,1,568
"Oak Park, Precinct 6",1721,496,180,676,79,68,147,0,0,0,1,1,2,0,1,1,1,1,2,0,1,1,829
"Oak Park, Precinct 7",1751,560,268,828,25,22,47,1,1,2,1,0,1,2,2,4,1,1,2,0,1,1,885
"Oak Park, Precinct 8",1747,679,227,906,21,9,30,2,2,4,0,0,0,2,1,3,0,0,0,0,0,0,943
"Oak Park, Precinct 9",1716,658,231,889,17,16,33,0,2,2,0,1,1,0,3,3,0,1,1,0,0,0,929
"Oak Park, Precinct 10",1891,698,295,993,28,18,46,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,1043
"Oak Park, Precinct 11",1675,393,260,653,55,61,116,2,3,5,0,1,1,1,3,4,0,2,2,0,0,0,781
"Oak Park, Precinct 12",1885,644,262,906,34,37,71,0,3,3,0,1,1,1,2,3,0,5,5,0,0,0,989
"Oak Park, Precinct 13",1825,649,206,855,22,20,42,1,2,3,0,0,0,1,0,1,1,1,2,0,0,0,903
"Oak Park, Precinct 14",1405,392,157,549,44,46,90,1,3,4,0,0,0,1,2,3,0,1,1,0,0,0,647
"Oak Park, Precinct 15",1412,421,190,611,43,29,72,2,0,2,0,0,0,0,3,3,0,1,1,0,0,0,689
"Oak Park, Precinct 16",1648,397,149,546,54,81,135,2,3,5,0,0,0,0,0,0,2,0,2,0,1,1,689
"Orchard Lake, Precinct 1",2118,338,49,387,440,231,671,1,0,1,0,0,0,0,0,0,2,0,2,0,1,1,1062
"Pleasant Ridge, Precinct 1",2513,645,246,891,94,113,207,2,2,4,0,0,0,0,1,1,1,0,1,0,0,0,1104
"Pontiac, Precinct 1",2957,795,347,1142,24,18,42,1,2,3,0,2,2,2,5,7,0,0,0,0,1,1,1197
"Pontiac, Precinct 2",2369,475,237,712,43,55,98,1,2,3,0,1,1,2,4,6,0,1,1,2,0,2,823
"Pontiac, Precinct 3",2138,602,263,865,42,51,93,1,4,5,3,0,3,1,5,6,1,1,2,2,0,2,976
"Pontiac, Precinct 4",1923,370,134,504,78,109,187,4,2,6,0,2,2,1,5,6,0,1,1,0,0,0,706
"Pontiac, Precinct 5",2023,388,178,566,49,62,111,3,0,3,0,0,0,0,1,1,1,0,1,1,0,1,683
"Pontiac, Precinct 6",2370,520,261,781,35,62,97,1,0,1,0,1,1,2,3,5,1,1,2,0,0,0,887
"Pontiac, Precinct 7",1452,147,150,297,33,50,83,1,0,1,0,2,2,2,2,4,0,0,0,0,0,0,387
"Pontiac, Precinct 8",2568,330,249,579,100,148,248,3,8,11,1,3,4,2,4,6,1,1,2,0,2,2,852
"Pontiac, Precinct 9",1810,271,218,489,38,52,90,2,1,3,2,1,3,2,1,3,0,0,0,0,1,1,589
"Pontiac, Precinct 10",637,81,75,156,29,36,65,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,224
"Pontiac, Precinct 11",3252,520,308,828,143,188,331,0,4,4,3,1,4,2,5,7,1,0,1,2,3,5,1180
"Pontiac, Precinct 12",2546,380,260,640,90,166,256,0,4,4,1,0,1,1,6,7,0,2,2,1,0,1,911
"Pontiac, Precinct 13",2250,437,231,668,72,128,200,2,7,9,1,3,4,0,3,3,2,2,4,1,2,3,891
"Pontiac, Precinct 14",2051,347,236,583,25,49,74,1,1,2,1,1,2,4,4,8,2,0,2,0,0,0,671
"Pontiac, Precinct 15",2640,594,418,1012,28,48,76,0,2,2,1,0,1,0,1,1,1,0,1,2,0,2,1095
"Pontiac, Precinct 16",2623,590,307,897,37,55,92,2,3,5,3,0,3,2,10,12,0,2,2,1,0,1,1012
"Pontiac, Precinct 17",2490,280,248,528,48,86,134,3,3,6,2,1,3,1,3,4,4,0,4,0,2,2,681
"Pontiac, Precinct 18",2090,221,133,354,21,72,93,2,0,2,0,2,2,2,5,7,3,0,3,0,1,1,462
"Pontiac, Precinct 19",2885,578,323,901,22,30,52,2,2,4,2,4,6,6,3,9,1,4,5,2,2,4,981
"Pontiac, Precinct 20",2290,615,285,900,42,29,71,1,2,3,2,1,3,2,8,10,0,1,1,1,0,1,989
"Pontiac, Precinct 21",2872,522,343,865,32,34,66,0,0,0,3,4,7,5,1,6,1,0,1,0,1,1,946
"Rochester, Precinct 1",2118,334,112,446,167,197,364,2,3,5,0,0,0,2,0,2,1,0,1,0,0,0,818
"Rochester, Precinct 2",2896,444,106,550,288,284,572,2,3,5,1,0,1,1,0,1,3,0,3,0,1,1,1133
"Rochester, Precinct 3",1670,221,86,307,141,170,311,3,2,5,0,1,1,1,0,1,0,0,0,0,0,0,625
"Rochester, Precinct 4",1327,210,41,251,180,170,350,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,603
"Rochester, Precinct 5",2175,287,35,322,306,276,582,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,906
"Rochester, Precinct 6",1215,179,20,199,197,109,306,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,506
"Rochester Hills, Precinct 1",2074,375,86,461,298,172,470,1,2,3,1,1,2,0,0,0,0,0,0,1,0,1,937
"Rochester Hills, Precinct 2",1069,221,51,272,114,63,177,2,2,4,0,0,0,0,0,0,0,0,0,0,1,1,454
"Rochester Hills, Precinct 3",1519,233,88,321,148,202,350,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,673
"Rochester Hills, Precinct 4",1436,262,64,326,192,126,318,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,645
"Rochester Hills, Precinct 5",2117,326,81,407,285,296,581,3,4,7,0,2,2,1,1,2,0,0,0,0,0,0,999
"Rochester Hills, Precinct 6",2657,467,80,547,432,239,671,2,3,5,2,1,3,1,5,6,0,1,1,0,1,1,1234
"Rochester Hills, Precinct 7",1095,146,51,197,159,101,260,1,0,1,2,0,2,0,0,0,0,1,1,0,1,1,462
"Rochester Hills, Precinct 8",1005,154,30,184,190,92,282,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,467
"Rochester Hills, Precinct 9",2362,376,63,439,280,195,475,4,4,8,0,0,0,1,0,1,0,0,0,0,0,0,923
"Rochester Hills, Precinct 10",1505,283,57,340,160,116,276,0,2,2,0,1,1,1,0,1,0,0,0,0,0,0,620
"Rochester Hills, Precinct 11",1766,250,82,332,169,229,398,6,4,10,0,0,0,0,2,2,1,0,1,0,0,0,743
"Rochester Hills, Precinct 12",2108,325,62,387,336,250,586,0,1,1,0,1,1,0,2,2,2,0,2,0,0,0,979
"Rochester Hills, Precinct 13",1692,264,54,318,226,234,460,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,782
"Rochester Hills, Precinct 14",2491,497,63,560,355,210,565,1,7,8,1,0,1,1,0,1,0,0,0,0,0,0,1135
"Rochester Hills, Precinct 15",2192,278,98,376,226,217,443,3,2,5,0,0,0,3,1,4,2,1,3,0,1,1,832
"Rochester Hills, Precinct 16",2443,415,77,492,313,253,566,4,3,7,1,0,1,1,2,3,1,0,1,0,0,0,1070
"Rochester Hills, Precinct 17",2498,450,78,528,316,236,552,3,2,5,0,0,0,1,0,1,0,0,0,0,0,0,1086
"Rochester Hills, Precinct 18",1454,222,34,256,246,139,385,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,644
"Rochester Hills, Precinct 19",1350,171,32,203,208,160,368,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,575
"Rochester Hills, Precinct 20",1247,248,42,290,165,86,251,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,542
"Rochester Hills, Precinct 21",2005,289,59,348,322,282,604,1,1,2,2,0,2,0,0,0,1,0,1,0,0,0,957
"Rochester Hills, Precinct 22",1405,263,41,304,203,101,304,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,610
"Rochester Hills, Precinct 23",1403,259,35,294,176,111,287,2,2,4,0,0,0,1,0,1,2,0,2,0,0,0,588
"Rochester Hills, Precinct 24",1796,371,38,409,286,149,435,0,1,1,2,1,3,1,0,1,1,0,1,0,0,0,850
"Rochester Hills, Precinct 25",2307,365,65,430,300,216,516,4,2,6,0,0,0,2,1,3,1,0,1,0,0,0,956
"Rochester Hills, Precinct 26",2594,443,70,513,351,230,581,1,0,1,1,1,2,0,0,0,1,0,1,0,0,0,1098
"Rochester Hills, Precinct 27",1843,402,49,451,250,166,416,1,1,2,1,0,1,0,0,0,1,1,2,1,0,1,873
"Rochester Hills, Precinct 28",1919,383,141,524,176,164,340,2,4,6,0,0,0,0,0,0,0,1,1,0,0,0,871
"Rochester Hills, Precinct 29",1124,183,36,219,137,107,244,2,1,3,2,0,2,0,1,1,0,1,1,1,0,1,471
"Rochester Hills, Precinct 30",2374,434,55,489,270,183,453,2,4,6,0,0,0,4,0,4,2,0,2,0,0,0,954
"Rochester Hills, Precinct 31",1517,290,62,352,173,175,348,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,703
"Rochester Hills, Precinct 32",1767,334,69,403,240,161,401,1,2,3,0,0,0,0,1,1,1,0,1,0,1,1,810
"Royal Oak, Precinct 1",2342,494,102,596,121,150,271,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,869
"Royal Oak, Precinct 2",2566,467,147,614,162,183,345,2,6,8,0,1,1,0,1,1,3,0,3,0,0,0,972
"Royal Oak, Precinct 3",1704,311,108,419,109,154,263,0,1,1,1,0,1,0,0,0,0,2,2,0,0,0,686
"Royal Oak, Precinct 4",1865,348,114,462,113,127,240,1,4,5,0,0,0,0,1,1,1,0,1,0,1,1,710
"Royal Oak, Precinct 5",1646,397,79,476,115,100,215,2,4,6,2,0,2,1,0,1,0,0,0,0,0,0,700
"Royal Oak, Precinct 6",2904,589,175,764,143,178,321,2,8,10,0,1,1,0,1,1,2,1,3,0,0,0,1100
"Royal Oak, Precinct 7",1976,420,155,575,120,145,265,3,3,6,0,0,0,0,0,0,1,0,1,0,0,0,847
"Royal Oak, Precinct 8",2579,480,130,610,201,173,374,4,3,7,0,0,0,0,0,0,0,3,3,0,0,0,994
"Royal Oak, Precinct 9",2967,618,149,767,171,186,357,3,4,7,0,0,0,1,2,3,0,1,1,0,0,0,1135
"Royal Oak, Precinct 10",2137,399,103,502,161,162,323,4,3,7,0,1,1,0,0,0,0,0,0,1,0,1,834
"Royal Oak, Precinct 11",1872,351,112,463,126,162,288,3,2,5,0,0,0,0,0,0,1,2,3,0,0,0,759
"Royal Oak, Precinct 12",2050,340,124,464,120,169,289,1,4,5,0,0,0,1,4,5,3,0,3,0,0,0,766
"Royal Oak, Precinct 13",2205,395,130,525,165,180,345,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,874
"Royal Oak, Precinct 14",1762,354,58,412,157,105,262,3,4,7,0,0,0,0,1,1,0,0,0,0,0,0,682
"Royal Oak, Precinct 15",1724,322,132,454,114,116,230,0,4,4,0,1,1,1,2,3,2,0,2,0,0,0,694
"Royal Oak, Precinct 16",2864,571,135,706,236,176,412,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1123
"Royal Oak, Precinct 17",1934,409,86,495,149,134,283,3,2,5,0,0,0,0,1,1,0,1,1,0,0,0,785
"Royal Oak, Precinct 18",2071,402,120,522,143,140,283,5,1,6,0,0,0,0,1,1,3,1,4,0,0,0,816
"Royal Oak, Precinct 19",2927,541,191,732,197,245,442,4,5,9,0,0,0,2,0,2,0,0,0,1,2,3,1188
"Royal Oak, Precinct 20",2290,431,109,540,212,154,366,2,7,9,0,0,0,2,2,4,0,2,2,0,1,1,922
"Royal Oak, Precinct 21",2237,507,150,657,165,142,307,1,4,5,0,1,1,0,0,0,1,1,2,0,0,0,972
