Straight Party Ticket (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,
,,Democratic Party,,,Republican Party,,,Libertarian Party,,,U.S. Taxpayers Party,,,Working Class Party,,,Green Party,,,Natural Law Party,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Highland Township, Precinct 3",1793,146,46,192,188,203,391,2,1,3,0,0,0,6,6,12,1,4,5,0,1,1,604
"Highland Township, Precinct 4",2497,284,48,332,339,329,668,2,4,6,0,0,0,4,1,5,2,1,3,0,0,0,1014
"Highland Township, Precinct 5",1482,132,34,166,208,239,447,0,2,2,0,0,0,0,2,2,1,1,2,0,0,0,619
"Highland Township, Precinct 6",2173,236,53,289,341,354,695,3,3,6,0,0,0,1,2,3,0,3,3,1,0,1,997
"Highland Township, Precinct 7",1525,112,55,167,210,269,479,2,3,5,0,1,1,0,2,2,0,1,1,1,2,3,658
"Highland Township, Precinct 8",1656,175,44,219,256,210,466,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,688
"Holly Township, Precinct 1",2660,253,117,370,188,371,559,1,10,11,0,0,0,2,3,5,1,2,3,1,1,2,950
"Holly Township, Precinct 2",2252,222,100,322,179,304,483,1,6,7,1,0,1,1,4,5,2,0,2,0,0,0,820
"Holly Township, Precinct 3",2438,252,85,337,264,415,679,2,0,2,0,0,0,0,3,3,1,2,3,0,1,1,1025
"Holly Township, Precinct 4",2614,315,106,421,333,371,704,1,1,2,0,0,0,2,1,3,0,5,5,0,0,0,1135
"Independence Township, Precinct 1",2849,324,47,371,438,427,865,2,4,6,1,0,1,0,1,1,1,2,3,0,0,0,1247
"Independence Township, Precinct 2",2125,229,66,295,331,286,617,4,3,7,0,2,2,0,0,0,0,3,3,0,0,0,924
"Independence Township, Precinct 3",2260,253,45,298,409,279,688,3,2,5,0,0,0,1,0,1,0,1,1,0,0,0,993
"Independence Township, Precinct 4",2149,242,38,280,416,283,699,2,1,3,0,0,0,0,1,1,0,1,1,0,0,0,984
"Independence Township, Precinct 5",2579,310,66,376,430,348,778,2,1,3,0,0,0,4,0,4,1,1,2,0,1,1,1164
"Independence Township, Precinct 6",2419,323,86,409,327,306,633,0,5,5,0,0,0,2,2,4,2,0,2,0,0,0,1053
"Independence Township, Precinct 7",2637,371,108,479,405,250,655,2,2,4,0,2,2,1,3,4,1,0,1,0,0,0,1145
"Independence Township, Precinct 8",1968,264,33,297,343,242,585,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,886
"Independence Township, Precinct 9",2577,296,62,358,386,386,772,0,2,2,1,0,1,1,2,3,0,1,1,0,0,0,1137
"Independence Township, Precinct 10",2599,287,121,408,254,345,599,3,5,8,1,1,2,4,3,7,1,1,2,1,1,2,1028
"Independence Township, Precinct 11",2861,300,92,392,335,417,752,2,6,8,1,0,1,3,4,7,0,2,2,0,1,1,1163
"Independence Township, Precinct 12",1194,148,56,204,158,167,325,3,3,6,0,0,0,2,2,4,0,0,0,0,1,1,540
"Independence Township, Precinct 13",1931,241,92,333,285,203,488,3,2,5,0,0,0,0,0,0,2,0,2,0,0,0,828
"Lyon Township, Precinct 1",2532,330,76,406,374,297,671,3,1,4,0,1,1,1,1,2,3,0,3,0,0,0,1087
